Instance ID,Lowest CPU Utilization,Highest CPU Utilization,Average CPU Utilization,Lowest Memory Utilization,Highest Memory Utilization,Average Memory Utilization,Lowest Disk Read BPS,Highest Disk Read BPS,Average Disk Read BPS,Lowest Disk Write BPS,Highest Disk Write BPS,Average Disk Write BPS
i-k1a6f8z5ll19s6ym2wem,2.70%,3.79%,2.97%,17.15%,17.64%,17.42%,0.00 KB,61.13 KB,6.98 KB,33.53 KB,776.33 KB,131.83 KB
i-k1a6f8z5ll190cmwuu9x,5.41%,13.50%,6.52%,47.18%,49.46%,48.38%,36.47 KB,1083.40 KB,245.35 KB,58.67 KB,1076.53 KB,223.20 KB
i-k1a6qpxemzhlhcao7vuf,24.18%,58.20%,34.68%,null,null,null,11491.47 KB,45909.53 KB,38647.06 KB,568.73 KB,1042.13 KB,937.42 KB
i-k1a7fbt939q6oylo9mkr,48.98%,84.21%,66.75%,35.30%,37.90%,36.76%,20578.07 KB,63982.53 KB,46417.57 KB,357.13 KB,37297.13 KB,29889.58 KB
i-k1a7fbt939q6oylo9mks,36.97%,69.41%,50.24%,35.57%,37.76%,36.60%,15709.07 KB,67130.33 KB,48565.40 KB,324.73 KB,37302.47 KB,29899.13 KB
i-k1a647ekypkwpn0limoz,4.20%,5.03%,4.41%,30.61%,31.93%,31.36%,0.00 KB,81.60 KB,15.96 KB,14.20 KB,852.73 KB,128.14 KB
i-k1afqkacxq8oi9qlm6dx,4.16%,48.45%,33.40%,56.60%,95.83%,92.42%,4270.73 KB,52110.93 KB,49165.81 KB,77.87 KB,7255.47 KB,6267.71 KB
i-k1afqkacxq8oi9qlm6dw,11.36%,36.09%,28.77%,88.02%,89.45%,88.75%,3132.73 KB,51943.07 KB,48361.89 KB,280.40 KB,3929.53 KB,1444.86 KB
i-k1a5ry00z81lzxh25fqp,7.38%,12.06%,9.32%,25.39%,26.21%,25.72%,1.67 KB,5150.47 KB,377.17 KB,217.00 KB,959.53 KB,562.01 KB
i-k1a5ry00z81lzxh25fqo,4.86%,6.50%,5.75%,17.49%,18.20%,17.77%,0.27 KB,5074.40 KB,239.08 KB,165.20 KB,774.80 KB,666.17 KB
i-k1a4yc65ei4k0y22zjlx,3.59%,9.22%,7.88%,20.48%,21.66%,20.83%,33.67 KB,5053.93 KB,334.68 KB,179.93 KB,1194.87 KB,686.37 KB
i-k1a64p3b880wppb1nnfs,3.25%,5.16%,3.65%,20.19%,20.79%,20.47%,57.73 KB,324.20 KB,123.78 KB,48.80 KB,874.40 KB,175.83 KB
i-k1aa2vjb5fxzizig4lad,5.60%,7.80%,6.88%,38.60%,42.04%,40.21%,0.00 KB,319.93 KB,60.69 KB,21.87 KB,1051.73 KB,127.55 KB
i-k1adwp3skwe2y4vqeyux,3.28%,4.62%,3.92%,57.89%,60.21%,59.41%,86.13 KB,218.00 KB,134.73 KB,32.73 KB,125.53 KB,89.11 KB
i-k1adwp3skwe2y4vqeyv0,4.87%,5.74%,5.32%,28.99%,30.20%,29.73%,0.00 KB,77.87 KB,29.24 KB,30.27 KB,1113.67 KB,130.19 KB
i-k1adwp3skwe2y4vqeyuz,2.98%,4.62%,3.69%,59.00%,61.28%,60.59%,96.40 KB,443.00 KB,207.89 KB,29.47 KB,125.60 KB,98.26 KB
i-k1adwp3skwe2y4vqeyuy,4.67%,6.12%,5.25%,61.90%,65.25%,64.27%,146.93 KB,866.47 KB,357.20 KB,17.13 KB,144.00 KB,92.45 KB
i-k1aap5yqav9fmwysap55,2.55%,30.28%,8.05%,null,null,null,0.00 KB,2537.46 KB,94.42 KB,105.40 KB,8144.33 KB,2518.62 KB
i-k1aap5yqav9fmwysap56,1.94%,9.60%,6.76%,50.03%,71.30%,55.41%,7.80 KB,359.00 KB,182.09 KB,41.07 KB,6634.47 KB,5722.83 KB
i-k1ab77rmcu8049zam0pf,2.10%,3.66%,2.93%,20.24%,20.90%,20.64%,0.00 KB,57.00 KB,7.64 KB,75.13 KB,245.80 KB,234.72 KB
i-k1add5h13ylik6icv926,null,null,null,null,null,null,null,null,null,null,null,null
i-k1ae6rawoqtk9vnmkp83,7.70%,95.72%,33.01%,30.26%,38.33%,33.67%,0.07 KB,6980.93 KB,452.11 KB,19.60 KB,8986.07 KB,2625.58 KB
i-k1ad2cq3lgfumb91lx4p,2.38%,3.12%,2.76%,20.07%,20.51%,20.26%,0.00 KB,154.67 KB,90.10 KB,50.00 KB,782.40 KB,123.75 KB
i-k1a01l31nfa5fb4vd8jg,7.81%,100.00%,13.74%,64.52%,98.87%,67.79%,65.33 KB,132968.00 KB,4825.86 KB,182.40 KB,6086.33 KB,711.53 KB
i-k1a9piib7oaiut0g1afk,5.63%,6.74%,6.37%,52.23%,53.47%,52.85%,0.00 KB,102.73 KB,43.51 KB,28.47 KB,788.40 KB,139.53 KB
i-k1aetgqvxw3rda9uwuc5,null,null,null,null,null,null,null,null,null,null,null,null
i-k1abb1tlouwgi0psfuz5,null,null,null,null,null,null,null,null,null,null,null,null
i-k1abb1tlouwgi0psfuz6,null,null,null,null,null,null,null,null,null,null,null,null
i-k1abb1tlouwgi0psfuz4,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a8eipqt3zst10hn7z6,5.69%,6.81%,6.19%,50.37%,50.88%,50.74%,0.00 KB,57.40 KB,6.69 KB,36.20 KB,793.47 KB,142.48 KB
i-k1aiu7gyb8tfj7flztb5,5.42%,10.25%,7.76%,74.14%,74.75%,74.56%,149.40 KB,1040.27 KB,456.07 KB,231.67 KB,3868.60 KB,1385.14 KB
i-k1a1to2q7byf0k4lw3hp,4.94%,5.57%,5.26%,20.33%,21.08%,20.91%,0.00 KB,0.07 KB,0.00 KB,14.13 KB,779.20 KB,114.06 KB
i-k1a1to2q7byez8rv6qcd,10.46%,13.30%,12.00%,34.68%,35.61%,35.15%,29.27 KB,1127.07 KB,532.35 KB,115.40 KB,846.40 KB,151.52 KB
i-k1a1to2q7byez8rv6qce,7.99%,10.85%,9.04%,22.86%,23.60%,23.36%,16.87 KB,1632.27 KB,202.17 KB,113.87 KB,828.33 KB,154.20 KB
i-k1a1to2q7byez8rv6qcc,8.40%,13.14%,10.82%,27.13%,27.59%,27.39%,14.87 KB,529.80 KB,112.22 KB,116.67 KB,877.93 KB,163.12 KB
i-k1a1f4dzuxfu76kdpu9c,4.68%,28.62%,11.60%,76.67%,77.26%,77.01%,70.40 KB,353.07 KB,140.12 KB,115.67 KB,1144.00 KB,248.23 KB
i-k1a9v9da1jefsituv7nb,4.45%,25.95%,5.41%,11.72%,26.34%,16.44%,0.00 KB,1530.53 KB,49.57 KB,25.87 KB,145.67 KB,110.84 KB
i-k1ahdcyzz2vood8rwgpr,52.53%,98.77%,91.56%,63.11%,64.00%,63.72%,4576.47 KB,24803.40 KB,16651.57 KB,3338.00 KB,16411.27 KB,14362.16 KB
i-k1a4jfeshmyoyyxlfknq,56.47%,100.00%,96.46%,28.48%,98.99%,96.16%,3921.53 KB,117769.40 KB,39197.02 KB,61.73 KB,7799.73 KB,6290.26 KB
i-k1ahdcyzz2vontigrwwx,16.44%,99.54%,96.24%,68.82%,99.29%,95.53%,4898.47 KB,62135.20 KB,37007.85 KB,99.80 KB,7811.40 KB,6451.18 KB
i-k1a4jfeshmyomoyo78pi,39.93%,100.00%,91.72%,46.23%,86.01%,58.36%,20898.27 KB,49469.27 KB,36232.82 KB,6667.80 KB,25503.20 KB,20290.73 KB
i-k1aenpvx40wvk64u21dx,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a4c8mfs9nvu8nv0o4v,7.97%,28.49%,16.68%,46.40%,70.47%,59.68%,19.73 KB,6617.20 KB,5952.89 KB,1640.20 KB,7631.53 KB,6323.61 KB
i-k1a32tdcz2ddjik59zqm,5.69%,51.94%,16.73%,22.84%,25.63%,24.07%,0.00 KB,2659.46 KB,143.97 KB,66.60 KB,8732.93 KB,2199.81 KB
i-k1ai2zro73xcmty8ej4b,1.97%,3.19%,2.51%,18.64%,19.30%,19.06%,0.00 KB,0.00 KB,0.00 KB,13.53 KB,187.47 KB,95.80 KB
i-k1aff4vh3vfg21fery9h,21.21%,50.17%,36.95%,50.79%,70.64%,68.16%,9024.27 KB,30041.67 KB,24918.72 KB,202.33 KB,7808.80 KB,6448.78 KB
i-k1aff4vh3vfg21fery9g,17.50%,57.87%,48.88%,55.11%,94.01%,71.18%,12873.80 KB,26084.73 KB,22656.33 KB,146.07 KB,7928.60 KB,6346.73 KB
i-k1aff4vh3vfg21fery9i,3.42%,7.91%,4.56%,64.19%,64.69%,64.55%,4269.07 KB,30698.87 KB,8931.50 KB,3507.60 KB,13764.87 KB,7098.52 KB
i-k1a6cfgvpivxegjrgvhk,4.76%,12.37%,6.63%,43.67%,49.14%,44.32%,43.40 KB,78497.27 KB,2856.97 KB,449.13 KB,82983.00 KB,4747.67 KB
i-k1a6cfgvpivxegjrgvhl,6.76%,15.02%,9.20%,34.11%,44.00%,36.42%,1.13 KB,79222.53 KB,3055.66 KB,687.93 KB,75227.20 KB,4886.09 KB
i-k1a6cfgvpivxegjrgvhj,6.31%,13.04%,8.45%,37.32%,40.12%,38.81%,34.07 KB,6874.67 KB,951.10 KB,5677.20 KB,11626.20 KB,9512.96 KB
i-k1a6cfgvpivxegjrgvhi,8.61%,14.70%,11.05%,38.68%,48.62%,40.07%,52.00 KB,2731.00 KB,418.13 KB,501.73 KB,40326.93 KB,2233.46 KB
i-k1a8o05e63kxdpburcnb,21.12%,59.01%,31.91%,17.01%,22.75%,19.13%,79.67 KB,31962.13 KB,2431.00 KB,183.47 KB,1284.00 KB,376.42 KB
i-k1a3y2s0lqt28oypnwoi,18.26%,32.26%,28.31%,19.83%,21.38%,20.81%,3503.53 KB,22372.87 KB,11153.40 KB,203.53 KB,795.00 KB,332.03 KB
i-k1ai1092iny0z6ofisyt,6.68%,12.31%,10.77%,77.85%,78.59%,78.09%,0.13 KB,206.73 KB,128.34 KB,56.13 KB,274.20 KB,149.65 KB
i-k1ai1092iny0z6ofisyu,6.21%,9.49%,6.98%,72.27%,76.62%,76.37%,20.87 KB,9393.80 KB,865.74 KB,233.33 KB,3494.67 KB,1404.14 KB
i-k1ai7qhhvjzzyznj7eai,3.47%,63.64%,21.74%,18.83%,99.39%,77.19%,2.33 KB,103910.53 KB,59598.10 KB,116.33 KB,5132.33 KB,1237.49 KB
i-k1ai7qhhvjzzyznj7eaj,3.71%,69.81%,32.81%,18.61%,99.23%,90.67%,19.67 KB,109000.00 KB,81403.96 KB,118.60 KB,11239.80 KB,1888.22 KB
i-k1ai7qhhvjzzyznj7eah,3.98%,63.15%,28.10%,41.52%,99.33%,95.32%,84.93 KB,107928.20 KB,89739.67 KB,213.20 KB,7692.67 KB,1397.83 KB
i-k1a6kiiifswst55hmr8b,4.06%,9.52%,4.89%,30.15%,31.28%,30.68%,2.13 KB,506.53 KB,112.57 KB,49.20 KB,1050.47 KB,180.76 KB
i-k1a8ag8ooaxzvgsphyyj,3.96%,4.72%,4.43%,19.60%,20.21%,19.92%,3.87 KB,141.53 KB,67.84 KB,51.93 KB,868.33 KB,138.69 KB
i-k1a8prz5n7jtxxk2ilrd,13.77%,75.31%,25.77%,39.60%,80.19%,62.54%,0.27 KB,45950.52 KB,15883.26 KB,64.67 KB,833.87 KB,274.52 KB
i-k1a8prz5n7jtxxk2ilre,12.01%,30.12%,24.37%,71.42%,84.71%,78.33%,450.87 KB,35317.53 KB,29387.39 KB,62.47 KB,1135.53 KB,323.40 KB
i-k1ag5z50dogtonv6pv4o,3.20%,4.18%,3.62%,31.21%,32.52%,32.18%,0.00 KB,90.53 KB,22.03 KB,22.27 KB,1108.73 KB,133.21 KB
